Content ID,Content Type,Views
1175942,movie,2
911430,movie,13
1234821,movie,2
64690,movie,1
575265,movie,3
110492,tv,11
110492,movie,11
154887,tv,23
154887,movie,23
49521,movie,1
232230,movie,15
232230,tv,15
1668,tv,71
1668,movie,71
296951,movie,3
296951,tv,3
87108,movie,21
87108,tv,20
37680,tv,42
37680,movie,42
15512,movie,1
585,movie,1
744653,movie,1
58496,movie,2
1311031,movie,9
1540604,movie,1
1007734,movie,3
238,movie,2
1312946,movie,1
1231813,movie,1
482600,movie,1
336203,movie,1
1297181,movie,5
1404864,movie,1
153950,tv,2
153950,movie,2
339367,movie,3
339367,anime,1
1177634,movie,1
271607,tv,6
271607,movie,6
9502,movie,4
795104,movie,7
79166,movie,3
79166,tv,3
79166,anime,1
249767,tv,2
249767,movie,2
217736,tv,1
217736,movie,1
1153399,movie,4
62660,movie,6
39254,movie,4
1920,movie,7
1920,tv,7
79352,tv,9
79352,movie,9
138505,movie,7
138505,tv,7
110316,movie,4
110316,tv,4
945836,movie,4
1218925,movie,1
617126,movie,1
96312,tv,7
96312,movie,7
96312,anime,1
1009723,movie,4
1083637,movie,1
